id,title,price_pc,link,mobile_link,image_link,category_name1,Shipping
1,[출발확정] 도쿄/시즈오카 3~5일 패키지,"559,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2021/05/06/10000/aa1b5ed9-e8a9-46fe-8b3d-1b3cb271755f.jpg,패키지,0
2,[황금연휴] 도쿄/시즈오카 3~5일 #추석 #한글날 #베스트셀러,"649,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2021/07/26/10000/905d31d4-5f23-430d-b919-16f8ec90e153.jpg,카테고리 없음,0
3,도쿄 3~5일 #가성비여행 #핵심관광,"699,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2021/09/01/10000/1db600f9-a998-4bf1-902d-8aed33fa0065.jpg,패키지,0
4,도쿄 3~4일 #베스트셀러 #MD추천 #소도시여행,"1,259,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2021/09/01/10000/ad4aad9f-1250-48ee-9b22-acc195b1383c.jpg,패키지,0
5,시즈오카 3~4일 # 도쿄,"649,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2022/04/22/10000/80e6c039-449c-4797-9d8e-172c2cd4720b.png,패키지,0
6,도쿄 자유여행 3~5일 #항공+호텔 #시내호텔숙박,"469,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2023/03/22/10000/7fadab9c-8cf2-4c88-bf50-70191dcfc636.jpg,에어텔,0
7,[4명 이상 출발 확정] 도쿄 3~4일 #가성비여행 #핵심관광,"879,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2022/07/27/10000/0fa949f2-6a27-44dc-a79a-54dfd727ac39.jpg,패키지,0
8,도쿄 3~4일 #디즈니랜드 #핵심관광,"1,179,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2014/11/14/10000/1329e6ae-23ec-44da-81b8-62849feed672.png,패키지,0
9,도쿄 3~4일 #테마파크 #산리오퓨로랜드,"1,299,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2023/06/16/10000/08a94ae0-c23a-4060-8d5c-e75029db8377.jpg,하나팩2.0,0
10,도쿄 자유여행 4일 #항공+호텔 #시내호텔숙박,"669,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2021/10/26/10000/6fc99dd6-e423-4c6a-9d00-ec6a5618927b.jpg,에어텔,0
11,도쿄 3~5일 #패키지에+자유더하기 #자유일정 포함,"959,900",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2021/10/28/10000/3b047258-53f5-4e6c-a346-8f20b2a71848.jpg,패키지,0
12,이타코 골프 3~4일 #센트럴/뉴센트럴CC #후지야호텔 #전일정식사,"1,211,100",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2023/08/29/10000/f9487308-d334-44af-85c9-5835c1292d87.jpg,골프,0
13,지바 골프텔 3/4일 #리소루노모리 #독채형코티지 #만나CC #조석식포함 #온천포함,"1,541,300",https://wing.hanatour.com/package/major-products?cntryCd=JP&cityCd=TYO&depCityCd=JCN%2CAF9&pkgServiceCd=FP&flag=ICE&rprsProdAirEnn=Y%2CN&prodTypeCd=G%2CI&strtDepDay=20231001&endDepDay=20231031&depCityNm=%EC%9D%B8%EC%B2%9C%2F%EA%B9%80%ED%8F%AC,없음,https://image.hanatour.com/usr/cms/resize/400_0/2023/02/01/10000/152be6cd-71dd-4aab-bc7c-9db9a077cede.jpg,골프,0
